"Year","Reapplication status","Age group","Gender","Domicile","Applicants"
"2025","Reapplier","20","Woman","Scotland","20"
"2026","Reapplier","20","Woman","Scotland","20"
"2017","First time applicant","21 - 24","Woman","Scotland","90"
"2018","First time applicant","21 - 24","Woman","Scotland","130"
"2019","First time applicant","21 - 24","Woman","Scotland","140"
"2020","First time applicant","21 - 24","Woman","Scotland","140"
"2021","First time applicant","21 - 24","Woman","Scotland","160"
"2022","First time applicant","21 - 24","Woman","Scotland","150"
"2023","First time applicant","21 - 24","Woman","Scotland","130"
"2024","First time applicant","21 - 24","Woman","Scotland","110"
"2025","First time applicant","21 - 24","Woman","Scotland","130"
"2026","First time applicant","21 - 24","Woman","Scotland","110"
